Kho GXT,KTC/KCT liền kề trước
Kho GXT Đông Hưng - Thái Bình,KTC Hưng Yên
Kho GXT Ân Thi - Hưng Yên,KTC Hưng Yên
Kho GXT Nho Quan - Ninh Bình,KTC Hưng Yên
Kho GXT Mỹ Lộc - Nam Định,KTC Hưng Yên
Kho GXT Tân Bình - Hải Dương,KTC Hưng Yên
Kho Đức Giang - Hà Nội,KTC Dương Xá
Kho GXT Đông Anh - Hà Nội,KTC Dương Xá
Kho GXT Thanh Trì - Hà Nội,KTC Dương Xá
Kho GXT Bắc Từ Liêm - Hà Nội,KTC Dương Xá
Kho GXT Long Biên - Hà Nội,KTC Dương Xá
Kho GXT Thanh Oai - Hà Nội,KTC Dương Xá
Kho Hoài Đức - Hà Nội,KTC Dương Xá
Kho GXT Tiên Du - Bắc Ninh,KTC Dương Xá
Kho GXT TP Hòa Bình - Hòa Bình,KTC Hà Nội
Kho GXT TP Tuyên Quang - Tuyên Quang,KTC Hà Nội
Kho GXT TP Sơn La - Sơn La,KTC Hà Nội
Kho GXT TP Lào Cai - Lào Cai,KTC Hà Nội
Kho GXT TP Lạng Sơn - Lạng Sơn,KTC Hà Nội
Kho GXT TP Yên Bái - Yên Bái,KTC Hà Nội
Kho GXT Việt Trì - Phú Thọ,KTC Hà Nội
Kho GXT Bình Xuyên - Vĩnh Phúc,KTC Hà Nội
Kho GXT TP Hạ Long - Quảng Ninh,KTC Hà Nội
Kho GXT TP Thái Nguyên - Thái Nguyên,KTC Hà Nội
Kho GXT Việt Yên - Bắc Giang,KTC Hà Nội
Kho GXT An Dương - Hải Phòng,KTC Hà Nội
Kho GXT Thạch Hà - Hà Tĩnh,KTC Nghệ An
Kho GXT Vinh - Nghệ An,KTC Nghệ An
Kho GXT Đông Thọ - Thanh Hóa,KTC Thanh Hóa
Kho GXT Gia Nghĩa - Đắk Nông,KTC Đắk Nông
Kho GXT Đồng Hới - Quảng Bình,KTC Quảng Bình
Kho GXT Đông Hà - Quảng Trị,KTC Quảng Bình
Kho GXT Cam Ranh - Khánh Hòa,KTC Khánh Hòa
Kho Nha Trang - Khánh Hòa,KTC Khánh Hòa
Kho GXT Phan Rang - Ninh Thuận,KTC Khánh Hòa
Kho GXT Hương Thủy - Huế,KCT Huế
Kho GXT Liên Chiểu - Đà Nẵng,KTC Đà Nẵng
Kho GXT Tam Kỳ - Quảng Nam,KTC Đà Nẵng
Kho GXT Hội An - Quảng Nam,KTC Đà Nẵng
Kho GXT Hoà Xuân - Đà Nẵng,KTC Đà Nẵng
Kho GXT Tuy Hoà - Phú Yên,KTC Bình Định
Kho GXT Quy Nhơn - Bình Định,KTC Bình Định
Kho GXT Hoài Nhơn - Bình Định,KTC Bình Định
Kho GXT Bình Thủy - Cần Thơ,KTC Cần Thơ
Kho GXT Cái Răng - Cần Thơ,KTC Cần Thơ
Kho GXT Tam Nông - Đồng Tháp,KTC Cần Thơ
Kho GXT TP Bạc Liêu - Bạc Liêu,KTC Cần Thơ
Kho GXT TP Cao Lãnh - Đồng Tháp,KTC Cần Thơ
Kho GXT TP Châu Đốc - An Giang,KTC Cần Thơ
Kho GXT TP Long Xuyên - An Giang,KTC Cần Thơ
Kho GXT TP Sóc Trăng - Sóc Trăng,KTC Cần Thơ
Kho GXT TP Trà Vinh - Trà Vinh,KTC Cần Thơ
Kho GXT TP Vĩnh Long - Vĩnh Long,KTC Cần Thơ
Kho GXT Buôn Hồ - Đắk Lắk,KTC Đắk Lắk
Kho GXT Buôn Ma Thuột - Đắk Lắk,KTC Đắk Lắk
Kho GXT Pleiku - Gia Lai,KTC Gia Lai
Kho GXT Thắng Lợi - Kon Tum,KCT Đắk Lắk
Kho GXT Cai Lậy - Tiền Giang,HCM01
Kho GXT Mỹ Tho - Tiền Giang,HCM01
Kho GXT TP Tây Ninh - Tây Ninh,HCM01
Kho GXT Tân An - Long An,HCM01
Kho GXT Nhà Bè - HCM,HCM01
Kho GXT Dĩ An - Bình Dương,HCM01
Kho GXT Thủ Dầu Một - Bình Dương,HCM01
Kho GXT Thủ Đức - HCM,HCM01
Kho GXT Tân Tạo - HCM,HCM01
Kho GXT La Gi - Bình Thuận,KCT Bình Thuận
Kho GXT Phan Thiết - Bình Thuận,KCT Bình Thuận
Kho GXT Tuy Phong - Bình Thuận,KCT Bình Thuận
Kho GXT Quảng Ngãi - Quảng Ngãi,KCT Quảng Ngãi
Kho GXT Chơn Thành - Bình Phước,KCT Bình Phước
Kho GXT TP Đồng Xoài - Bình Phước,KCT Bình Phước
Kho GXT Long Thành - Đồng Nai,KCT Đồng Nai
Kho GXT TP Bà Rịa - BRVT,KCT Đồng Nai
Kho GXT TP Biên Hòa - Đồng Nai,KCT Đồng Nai
Kho GXT TP Vũng Tàu - BRVT,KCT Đồng Nai
Kho GXT Trảng Bom - Đồng Nai,KCT Đồng Nai
Kho GXT Đức Trọng - Lâm Đồng,KTC Lâm Đồng
Kho GXT TP Bảo Lộc - Lâm Đồng,KTC Lâm Đồng
Kho GXT TP Đà Lạt - Lâm Đồng,KTC Lâm Đồng
Kho GXT TP Cà Mau - Cà Mau,HCM20
Kho GXT Tân Bình - HCM,HCM20
Kho GXT TP Hà Tiên - Kiên Giang,HCM20
Kho GXT TP Rạch Giá - Kiên Giang,HCM20
